Main division = 480
Hamo71:onset=34800,offset=35020notenum=60
Hamo72:onset=35040,offset=35260notenum=67
Hamo73:onset=35280,offset=35500notenum=69
Hamo74:onset=35760,offset=35980notenum=69
Hamo75:onset=36000,offset=36220notenum=71
Hamo76:onset=36240,offset=36460notenum=72
Hamo77:onset=36480,offset=36940notenum=74
Hamo78:onset=36960,offset=37420notenum=72
Hamo79:onset=37440,offset=37900notenum=71
Hamo80:onset=37920,offset=38140notenum=69
Hamo81:onset=38160,offset=38610notenum=72
Hamo82:onset=38640,offset=38860notenum=72
Hamo83:onset=38880,offset=40300notenum=71
Hamo84:onset=54000,offset=54220notenum=72
Hamo85:onset=54240,offset=54460notenum=72
Hamo86:onset=54480,offset=54700notenum=72
Hamo87:onset=54720,offset=54940notenum=72
Hamo88:onset=54960,offset=55180notenum=73
Hamo89:onset=55200,offset=55420notenum=72
Hamo90:onset=55440,offset=55660notenum=70
Hamo91:onset=55680,offset=56380notenum=68
Hamo92:onset=56400,offset=56620notenum=68
Hamo93:onset=56640,offset=57100notenum=68
Hamo94:onset=57120,offset=57580notenum=68
Hamo95:onset=57600,offset=58060notenum=69
Hamo96:onset=58080,offset=58300notenum=69
Hamo97:onset=58320,offset=58780notenum=69
Hamo98:onset=58800,offset=59260notenum=69
Hamo99:onset=59280,offset=59500notenum=69
Hamo100:onset=59520,offset=60220notenum=70
Hamo101:onset=60240,offset=60460notenum=70
Hamo102:onset=60480,offset=60940notenum=70
Hamo103:onset=61440,offset=61660notenum=68
Hamo104:onset=61920,offset=62140notenum=68
Hamo105:onset=62160,offset=62620notenum=73
Hamo106:onset=62640,offset=62860notenum=68
Hamo107:onset=62880,offset=63100notenum=68
Hamo108:onset=63120,offset=63340notenum=68
Hamo109:onset=63360,offset=63820notenum=70
Hamo110:onset=64080,offset=64300notenum=70
Hamo111:onset=64320,offset=64540notenum=70
Hamo112:onset=64560,offset=64780notenum=68
Hamo113:onset=64800,offset=65020notenum=66
Hamo114:onset=65040,offset=65260notenum=66
Hamo115:onset=65280,offset=65500notenum=65
Hamo116:onset=65520,offset=65740notenum=61
Hamo117:onset=65760,offset=65980notenum=68
Hamo118:onset=66000,offset=66220notenum=70
Hamo119:onset=66240,offset=66460notenum=70
Hamo120:onset=66480,offset=66700notenum=70
Hamo121:onset=66720,offset=66940notenum=72
Hamo122:onset=66960,offset=67180notenum=73
Hamo123:onset=67200,offset=67660notenum=75
Hamo124:onset=67680,offset=67900notenum=73
Hamo125:onset=67920,offset=68140notenum=73
Hamo126:onset=68160,offset=68380notenum=72
Hamo127:onset=68400,offset=68620notenum=72
Hamo128:onset=68640,offset=68860notenum=70
Hamo129:onset=68880,offset=69460notenum=72
Hamo130:onset=69840,offset=70060notenum=72
Hamo131:onset=70080,offset=70300notenum=72
Hamo132:onset=70320,offset=70540notenum=73
Hamo133:onset=70560,offset=70780notenum=72
Hamo134:onset=70800,offset=71020notenum=70
Hamo135:onset=71040,offset=71730notenum=68
Hamo136:onset=71760,offset=71980notenum=68
Hamo137:onset=72000,offset=72460notenum=68
Hamo138:onset=72480,offset=72940notenum=68
Hamo139:onset=72960,offset=73420notenum=69
Hamo140:onset=73440,offset=73660notenum=69
Hamo141:onset=73680,offset=74140notenum=69
Hamo142:onset=74160,offset=74380notenum=69
Hamo143:onset=74640,offset=74860notenum=69
Hamo144:onset=74880,offset=75580notenum=70
Hamo145:onset=75600,offset=75820notenum=70
Hamo146:onset=75841,offset=76301notenum=70
Hamo147:onset=76800,offset=77020notenum=68
Hamo148:onset=77280,offset=77500notenum=68
Hamo149:onset=77520,offset=77980notenum=73
Hamo150:onset=78000,offset=78220notenum=68
Hamo151:onset=78240,offset=78460notenum=68
Hamo152:onset=78480,offset=78700notenum=68
Hamo153:onset=78720,offset=79180notenum=70
Hamo154:onset=79440,offset=79660notenum=70
Hamo155:onset=79680,offset=79900notenum=70
Hamo156:onset=79920,offset=80140notenum=68
Hamo157:onset=80160,offset=80380notenum=66
Hamo158:onset=80400,offset=80620notenum=66
Hamo159:onset=80640,offset=80860notenum=65
Hamo160:onset=80880,offset=81100notenum=61
Hamo161:onset=81120,offset=81340notenum=68
Hamo162:onset=81360,offset=81580notenum=70
Hamo163:onset=81840,offset=82060notenum=70
Hamo164:onset=82080,offset=82300notenum=72
Hamo165:onset=82320,offset=82540notenum=73
Hamo166:onset=82560,offset=83020notenum=75
Hamo167:onset=83040,offset=83500notenum=73
Hamo168:onset=83520,offset=83980notenum=72
Hamo169:onset=84000,offset=84220notenum=70
Hamo170:onset=84240,offset=84700notenum=73
Hamo171:onset=84720,offset=84940notenum=73
Hamo172:onset=84960,offset=86380notenum=72
Hamo173:onset=100560,offset=100780notenum=73
Hamo174:onset=100800,offset=101020notenum=73
Hamo175:onset=101040,offset=101260notenum=74
Hamo176:onset=101280,offset=101500notenum=73
Hamo177:onset=101520,offset=101740notenum=71
Hamo178:onset=101760,offset=102450notenum=69
Hamo179:onset=102480,offset=102700notenum=69
Hamo180:onset=102720,offset=103420notenum=69
Hamo181:onset=103680,offset=104140notenum=70
Hamo182:onset=104160,offset=104380notenum=70
Hamo183:onset=104400,offset=104860notenum=70
Hamo184:onset=104880,offset=105180notenum=70
Hamo185:onset=105360,offset=105590notenum=70
Hamo186:onset=105600,offset=106300notenum=71
Hamo187:onset=106320,offset=106540notenum=71
Hamo188:onset=106560,offset=107020notenum=71
Hamo189:onset=107040,offset=107260notenum=71
Hamo190:onset=107520,offset=107740notenum=69
Hamo191:onset=107760,offset=107980notenum=69
Hamo192:onset=108000,offset=108220notenum=69
Hamo193:onset=108240,offset=108700notenum=74
Hamo194:onset=108720,offset=108940notenum=69
Hamo195:onset=108960,offset=109180notenum=69
Hamo196:onset=109200,offset=109420notenum=69
Hamo197:onset=109440,offset=109900notenum=71
Hamo198:onset=110160,offset=110380notenum=71
Hamo199:onset=110400,offset=110620notenum=71
Hamo200:onset=110640,offset=110860notenum=69
Hamo201:onset=110880,offset=111100notenum=67
Hamo202:onset=111120,offset=111340notenum=67
Hamo203:onset=111360,offset=111580notenum=66
Hamo204:onset=111600,offset=111820notenum=62
Hamo205:onset=111840,offset=112060notenum=69
Hamo206:onset=112080,offset=112300notenum=71
Hamo207:onset=112560,offset=112780notenum=71
Hamo208:onset=112800,offset=113020notenum=73
Hamo209:onset=113040,offset=113260notenum=74
Hamo210:onset=113280,offset=113740notenum=76
Hamo211:onset=113760,offset=114220notenum=74
Hamo212:onset=114240,offset=114700notenum=73
Hamo213:onset=114720,offset=114940notenum=71
Hamo214:onset=114960,offset=115420notenum=74
Hamo215:onset=115440,offset=115660notenum=74
Hamo216:onset=115680,offset=117100notenum=73
